,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
503367,20,112379.58,248.0,112627.58,1561038.49,1448658.91,0,1,0,0,0,0
3403027,255,199585.81,4011779.61,4211365.42,633531.35,433945.54,0,1,0,0,0,0
2705367,211,35754.2,31426.0,67180.2,0.0,0.0,0,1,0,0,0,0
4990878,352,107461.68,99990.0,0.0,714723.31,822185.0,0,0,0,0,0,1
4919126,350,21789.84,10708.0,0.0,4298.1,26087.93,0,0,1,0,0,0
4269723,307,2647.88,4381.0,1733.12,0.0,0.0,0,0,0,0,1,0
435481,18,16029.41,14990.0,0.0,0.0,0.0,0,0,0,0,1,0
227681,14,130585.07,265.0,130850.07,541588.01,411002.94,0,1,0,0,0,0
3999889,298,56073.13,2120.0,0.0,942198.68,998271.81,0,0,1,0,0,0
2571613,207,8067.93,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5083935,355,10939.12,14615.0,3675.88,1707559.96,1718499.08,0,0,1,0,0,0
1941989,177,243904.96,0.0,0.0,246544.12,490449.08,0,0,1,0,0,0
2949588,230,182527.76,162.0,182689.76,1138706.08,956178.32,0,1,0,0,0,0
2658064,210,49763.7,14538.0,64301.7,3125159.26,3075395.56,0,1,0,0,0,0
4636235,330,416786.64,0.0,0.0,599941.02,1016727.66,0,0,0,0,0,1
4804842,346,56278.53,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3309155,252,444809.28,0.0,0.0,8719985.11,9164794.39,0,0,1,0,0,0
1161296,131,156621.44,185845.0,29223.56,312453.21,564184.35,0,0,1,0,0,0
465682,19,13526.33,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5668942,397,130739.29,11095.0,0.0,0.0,130739.29,0,0,1,0,0,0
6104638,525,200325.65,41474.0,0.0,21332494.33,21532819.98,0,0,1,0,0,0
385373,17,5511.46,3634838.28,3640349.73,52784.0,353020.86,0,1,0,0,0,0
351988,17,188964.15,5053.0,0.0,347.0,189311.15,0,0,1,0,0,0
1860136,164,12672.46,56278.0,43605.54,0.0,0.0,0,0,0,0,1,0
208370,13,69110.61,503.0,69613.61,0.0,0.0,0,1,0,0,0,0
3778941,280,351531.63,21151.0,372682.63,0.0,0.0,0,1,0,0,0,0
3704908,277,167245.17,1029368.65,1196613.82,4583190.82,4415945.65,0,1,0,0,0,0
627350,34,3402.24,547748.96,544346.72,0.0,0.0,0,0,0,0,1,0
1316262,136,48495.65,7049.0,0.0,97771.55,146267.2,0,0,1,0,0,0
4776956,335,100815.28,0.0,0.0,187495.08,288310.36,0,0,1,0,0,0
2052033,181,373538.45,77921.0,0.0,15740.31,389278.76,0,0,1,0,0,0
2928244,229,88860.32,12340565.21,12429425.53,418692.91,329832.59,0,1,0,0,0,0
1154929,131,170302.73,562593.94,732896.67,682568.34,512265.61,0,1,0,0,0,0
5339957,374,25616.6,137908.0,112291.4,0.0,0.0,0,0,0,0,1,0
3460427,257,13807.05,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5621222,395,36584.0,11282.0,0.0,0.0,0.0,0,0,0,0,1,0
4182885,304,16013.8,0.0,0.0,0.0,0.0,0,0,0,0,1,0
122759,11,4823.52,3878.57,0.0,0.0,0.0,0,0,0,0,1,0
5887503,403,8634.98,162726.0,154091.02,0.0,0.0,0,0,0,0,1,0
5198308,369,27115.33,0.0,0.0,0.0,0.0,0,0,0,0,1,0
147273,12,226188.77,85247.18,0.0,2852574.27,3078763.04,0,0,1,0,0,0
1950302,178,303452.19,4250774.31,4554226.51,1315845.64,1012393.44,0,1,0,0,0,0
381177,17,48823.12,124.0,48947.12,204147.38,155324.26,0,1,0,0,0,0
3529929,259,6625.43,84818.12,78192.69,0.0,0.0,0,0,0,0,1,0
2802870,225,178763.14,5316834.28,5495597.41,2529004.47,2350241.33,0,1,0,0,0,0
2480293,204,469938.74,505639.0,35700.26,0.0,469938.74,0,0,1,0,0,0
1262541,134,18070.35,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1535561,154,146427.23,0.0,0.0,848556.82,994984.05,0,0,0,0,0,1
4035835,299,174138.26,165166.0,339304.26,1754570.14,1580431.88,0,1,0,0,0,0
4927686,350,23862.32,9264.0,0.0,0.0,0.0,0,0,0,0,1,0
5741579,399,3675675.0,0.0,0.0,11908752.15,15584427.15,0,0,0,0,0,1
1737910,161,1790583.97,0.0,0.0,1939846.92,3730430.89,0,0,0,0,0,1
1999007,179,16718.07,194045.58,177327.51,0.0,0.0,0,0,0,0,1,0
1332692,137,263638.84,11529.0,0.0,131432.45,395071.28,0,0,1,0,0,0
1992117,179,259386.77,0.0,0.0,400825.7,660212.47,0,0,1,0,0,0
2150148,184,4054.74,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5661132,396,194059.44,0.0,0.0,1282168.24,1476227.68,0,0,1,0,0,0
4274490,307,55804.28,111592.0,55787.72,179238.56,235042.84,0,0,1,0,0,0
4791886,345,73.57,24842.95,24769.38,0.0,0.0,0,0,0,0,1,0
2577141,207,18325.78,0.0,0.0,239995.56,258321.34,0,0,1,0,0,0
1454530,140,1466913.75,10500.0,0.0,31598.88,1498512.63,0,0,0,0,0,1
615925,34,85865.79,1311418.74,1397284.52,3554615.47,3563514.41,0,1,0,0,0,0
3727037,278,260744.97,219.0,260963.97,235850.24,0.0,0,1,0,0,0,0
2471993,204,5305.7,5024.0,0.0,0.0,0.0,0,0,0,0,1,0
2682688,210,153513.95,619.0,0.0,143207.0,296720.95,0,0,1,0,0,0
3348953,253,76024.75,4352705.82,4428730.57,86377.05,10352.3,0,1,0,0,0,0
5451118,379,304383.92,29905.0,334288.92,267132.07,0.0,0,1,0,0,0,0
3259109,251,490373.91,0.0,0.0,692972.53,1183346.43,0,0,0,0,0,1
5614900,395,1740595.9,0.0,0.0,3302335.46,5042931.36,0,0,0,0,0,1
1517249,153,190817.74,245.0,0.0,438158.55,628976.29,0,0,1,0,0,0
6214501,589,1564001.69,4490.84,0.0,8079675.59,9643677.27,0,0,0,0,0,1
5038823,354,2589935.15,0.0,0.0,2954779.97,5544715.12,0,0,0,0,0,1
324098,16,1660.34,21102.0,19441.66,0.0,0.0,0,0,0,0,1,0
2917911,229,210596.13,0.0,0.0,6841926.39,6942664.29,0,0,1,0,0,0
961745,44,214269.84,101203.0,315472.84,0.0,0.0,0,1,0,0,0,0
5656750,396,423011.45,21811.0,0.0,305033.67,728045.12,0,0,1,0,0,0
2380856,193,253600.0,4358753.95,4612353.95,470614.32,217014.32,0,1,0,0,0,0
5026183,353,150460.22,2834182.71,2984642.93,1619132.05,1468671.83,0,1,0,0,0,0
6327614,688,244804.91,1080922.01,1325726.92,1692820.75,1448015.84,0,1,0,0,0,0
2529717,205,37739.96,1059.0,0.0,937764.56,975504.52,0,0,1,0,0,0
2017161,180,2610.14,45499.0,42888.86,0.0,0.0,0,0,0,0,1,0
3621745,274,34989.0,22390.0,0.0,10160.5,45149.5,0,0,1,0,0,0
3364230,254,103088.69,0.0,0.0,1914510.94,2017599.63,0,0,1,0,0,0
4221722,306,351322.63,61838.0,0.0,56371.09,407693.72,0,0,0,0,0,1
776748,39,265234.1,0.0,0.0,492357.71,757591.81,0,0,1,0,0,0
4401105,321,34480.12,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5430435,378,87637.81,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1122415,130,8862.06,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4521183,326,4010620.48,0.0,0.0,5465914.11,9476534.59,0,0,0,0,0,1
3181954,239,189051.02,7220.89,0.0,583503.28,772554.31,0,0,1,0,0,0
3484408,258,59830.42,2438288.85,2498119.27,130116.76,70286.35,0,1,0,0,0,0
1821538,163,80307.51,7681641.08,7761948.58,174093.07,93785.56,0,1,0,0,0,0
4609065,329,471223.84,54241.0,0.0,0.0,611791.15,0,0,1,0,0,0
725483,37,145920.02,10855.0,156775.02,28519.19,0.0,0,1,0,0,0,0
4154346,303,184764.72,0.0,0.0,386248.37,571013.09,0,0,1,0,0,0
944618,43,654.57,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1589285,155,85592.58,15324062.96,15409655.54,180164.93,94572.35,0,1,0,0,0,0
5403210,377,521431.53,12537.0,0.0,122908.53,644340.06,0,0,1,0,0,0
5320952,374,200020.64,0.0,0.0,774042.18,974062.82,0,0,1,0,0,0
1646730,157,215063.26,9450824.18,9665887.43,13462207.1,13247143.84,0,1,0,0,0,0
5318747,374,10227.84,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3894716,284,17507.51,764.0,0.0,0.0,0.0,0,0,0,0,1,0
2615063,208,43738.3,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3668565,276,94200.16,568621.91,662822.07,999332.81,905132.64,0,1,0,0,0,0
255928,14,41754.34,151.0,41905.34,1575679.13,1442576.11,0,1,0,0,0,0
2531987,205,5610.08,41131.0,35520.92,0.0,0.0,0,0,0,0,1,0
2646011,209,277362.43,193303.0,470665.43,690380.16,413017.74,0,1,0,0,0,0
3680449,276,6879.28,0.0,0.0,0.0,0.0,0,0,0,0,1,0
975965,44,9212.24,0.0,0.0,10878893.77,10888106.02,0,0,1,0,0,0
1972871,178,1993.47,235251.76,233258.29,0.0,0.0,0,0,0,0,1,0
3145955,236,541523.58,1034838.09,1576361.67,2330107.59,1788584.02,0,1,0,0,0,0
2190693,185,8641.79,391591.09,382949.3,0.0,0.0,0,0,0,0,1,0
6109653,525,5023.58,20463.0,15439.42,0.0,0.0,0,0,0,0,1,0
2013339,180,17583.82,0.0,0.0,0.0,0.0,0,0,0,0,1,0
6144608,545,15451.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4090276,301,48099.66,6591567.15,6639666.81,691730.4,643630.74,0,1,0,0,0,0
5543849,382,29954.83,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2780405,214,16318.74,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3030075,233,49052.5,2066888.78,2115941.27,678448.58,629396.09,0,1,0,0,0,0
3643790,275,5436.44,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2670636,210,126122.76,330287.0,456409.76,5806819.64,5680696.88,0,1,0,0,0,0
971588,44,48746.63,918.0,49664.63,79791.19,31044.56,0,1,0,0,0,0
4733954,332,266633.75,0.0,0.0,3294128.24,3560761.98,0,0,1,0,0,0
1585393,155,486521.29,49750.0,536271.29,1233769.69,747248.4,0,1,0,0,0,0
102849,10,30150.67,0.0,0.0,98229.44,5218.47,0,0,1,0,0,0
4180283,304,279367.71,50835.0,0.0,114060.49,393428.19,0,0,1,0,0,0
1390656,139,171429.58,52067.0,223496.58,318244.05,146814.47,0,1,0,0,0,0
35755,9,24.83,13243.0,13218.17,0.0,0.0,0,0,0,0,1,0
5003420,353,99961.44,296836.86,196875.42,3153603.72,3253565.16,0,0,1,0,0,0
2681675,210,90202.29,196.0,90398.29,254145.47,163943.18,0,1,0,0,0,0
3695419,277,180033.45,14717.15,194750.6,1124710.51,944677.06,0,1,0,0,0,0
2911877,229,86624.66,0.0,0.0,179543.6,266168.26,0,0,1,0,0,0
5538000,381,69965.87,0.0,0.0,2584115.09,2654080.95,0,0,1,0,0,0
2292206,187,5294.45,22498.02,17203.57,0.0,0.0,0,0,0,0,1,0
5315196,374,1953604.26,36880.0,0.0,573298.22,2526902.48,0,0,0,0,0,1
1513756,153,15112.29,1669968.42,1685080.71,107944.72,92832.43,0,1,0,0,0,0
4231316,306,135099.79,5418126.55,5553226.34,526467.95,391368.16,0,1,0,0,0,0
4010095,298,21476.96,3888.0,0.0,101029.94,122506.9,0,0,1,0,0,0
2932399,229,216055.94,0.0,0.0,1182543.5,1398599.44,0,0,1,0,0,0
5335913,374,87983.24,19783.0,107766.24,153782.64,65799.4,0,1,0,0,0,0
4849645,347,527087.06,10360.0,0.0,1626126.06,2153213.12,0,0,1,0,0,0
1907997,166,154543.26,0.0,0.0,162819.88,317363.15,0,0,1,0,0,0
1341370,137,54205.81,53497.1,0.0,277422.41,331628.23,0,0,0,0,0,1
1340856,137,53588.37,28462.0,0.0,1759884.15,1813472.51,0,0,1,0,0,0
6047798,492,239259.61,0.0,0.0,535434.7,774694.31,0,0,1,0,0,0
1699735,159,1458612.65,854647.89,0.0,2303068.09,3816033.21,0,0,0,0,0,1
3787698,280,9109.14,5043.0,0.0,0.0,0.0,0,0,0,0,1,0
5177764,359,4376.19,21129.0,16752.81,0.0,0.0,0,0,0,0,1,0
2432118,203,11616.56,0.0,0.0,0.0,0.0,0,0,0,0,1,0
903625,43,66334.2,4054.0,70388.2,422103.2,355769.01,0,1,0,0,0,0
4405210,321,18484.05,22777.0,4292.95,2586653.98,2605138.03,0,0,1,0,0,0
2698982,211,2369.12,12078.0,9708.88,0.0,0.0,0,0,0,0,1,0
1876875,164,73009.96,49601.0,0.0,0.0,73009.96,0,0,1,0,0,0
4234058,306,18886.93,438065.86,419178.93,0.0,0.0,0,0,0,0,1,0
5435930,378,52432.1,0.0,0.0,639048.72,691480.82,0,0,1,0,0,0
276378,15,312122.67,0.0,0.0,1141678.0,1353230.7,0,0,0,0,0,1
637351,35,472692.51,472692.51,0.0,193065.83,665758.34,1,0,1,0,0,0
3038401,234,261711.28,24328.0,0.0,208924.34,470635.62,0,0,0,0,0,1
4948031,351,16652.78,0.0,0.0,140179.86,156832.63,0,0,1,0,0,0
4726114,332,215266.57,37813.0,0.0,102008.52,317275.09,0,0,1,0,0,0
2309895,188,64486.48,66685.0,2198.52,171783.19,236269.67,0,0,1,0,0,0
4336498,308,149948.83,19226.0,0.0,1220906.72,1370855.56,0,0,1,0,0,0
4231111,306,24378.61,117078.0,92699.39,0.0,0.0,0,0,0,0,1,0
3910086,284,75895.27,82217.0,6321.73,0.0,75895.27,0,0,1,0,0,0
6303168,683,31125.06,20844.57,0.0,0.0,0.0,0,0,0,0,1,0
3599424,263,523918.63,5873437.6,6397356.23,5000786.1,4476867.46,0,1,0,0,0,0
1702526,159,1587426.22,0.0,0.0,3306069.38,4893495.61,0,0,0,0,0,1
923538,43,12206.6,0.0,0.0,55406.11,67612.7,0,0,1,0,0,0
5507161,380,1539.78,168149.31,166609.53,0.0,0.0,0,0,0,0,1,0
3190474,240,13722.82,20887.0,7164.18,0.0,0.0,0,0,0,0,1,0
2454755,203,156238.02,5136266.92,5292504.94,1021783.33,865545.31,0,1,0,0,0,0
41779,9,13596.67,22022.0,8425.33,0.0,0.0,0,0,0,0,1,0
1890326,165,59353.92,0.0,0.0,2340670.61,2400024.53,0,0,1,0,0,0
2010874,180,350295.6,837.0,0.0,3458240.19,3808535.79,0,0,0,0,0,1
2292898,187,27347.12,914738.06,942085.18,933173.56,905826.45,0,1,0,0,0,0
4900291,349,50782.93,4251754.82,4302537.75,316207.49,265424.56,0,1,0,0,0,0
4390013,321,51266.69,61917.0,10650.31,0.0,51266.69,0,0,1,0,0,0
4296032,307,134522.26,256362.0,121839.74,0.0,134522.26,0,0,1,0,0,0
508426,20,18416.2,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4657651,330,105475.89,0.0,0.0,562099.5,667575.39,0,0,1,0,0,0
1955459,178,655224.98,14471047.45,15126272.43,6430814.39,5775589.41,0,1,0,0,0,0
6223569,590,37086.38,139443.82,102357.44,0.0,0.0,0,0,0,0,1,0
2126102,183,77829.29,4922611.51,5000440.8,1216417.3,1138588.01,0,1,0,0,0,0
2838572,226,327248.82,1005509.83,1332758.65,2326410.38,1999161.56,0,1,0,0,0,0
256010,14,1544.37,4015.93,2471.56,0.0,0.0,0,0,0,0,1,0
4756302,333,2952327.18,6473.4,0.0,3065404.14,6017731.33,0,0,0,0,0,1
2653876,209,278463.9,0.0,0.0,769283.1,1047747.0,0,0,0,0,0,1
2225510,186,6196.37,281134.16,274937.8,0.0,0.0,0,0,0,0,1,0
2385912,201,23398.7,0.0,0.0,664037.6,687436.3,0,0,1,0,0,0
4224173,306,45358.39,0.0,0.0,0.0,0.0,0,0,0,0,1,0
6143278,545,394955.61,0.0,0.0,1031594.18,1426549.79,0,0,0,0,0,1
4493947,325,2708.36,0.0,0.0,0.0,0.0,0,0,0,0,1,0
6055374,496,32940.36,19867.17,0.0,0.0,0.0,0,0,0,0,1,0
350134,17,2454481.57,0.0,0.0,3040669.17,6901379.04,0,0,0,0,0,1
4914165,349,167852.27,39863.0,0.0,694202.97,862055.24,0,0,1,0,0,0
6163921,550,81090.21,6164954.41,6246044.62,170156.93,89066.71,0,1,0,0,0,0
3336755,253,32390.19,20951.0,0.0,0.0,0.0,0,0,0,0,1,0
342951,16,69213.25,20799.0,90012.25,49209.0,0.0,0,1,0,0,0,0
5650122,396,33239.97,22251288.78,22284528.75,134131.52,100891.55,0,1,0,0,0,0
2959053,230,21258.35,52503.0,31244.65,144115.27,165373.62,0,0,1,0,0,0
1492157,142,10497.94,696738.0,686240.06,0.0,0.0,0,0,0,0,1,0
111862,11,10714.06,241.0,0.0,0.0,0.0,0,0,0,0,1,0
748330,38,3607.62,0.0,0.0,0.0,0.0,0,0,0,0,1,0
838609,41,29225.45,86300.74,57075.29,0.0,0.0,0,0,0,0,1,0
4231940,306,441426.65,26567.0,467993.65,6905.96,0.0,0,1,0,0,0,0
245617,14,136482.37,12305.0,0.0,13211.31,1024940.74,0,0,1,0,0,0
4537761,326,305036.25,0.0,0.0,818295.79,1123332.04,0,0,0,0,0,1
4706257,331,9117.41,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5178414,359,197.82,18627.0,18429.18,0.0,0.0,0,0,0,0,1,0
413568,18,3106.5,563656.95,560550.45,0.0,0.0,0,0,0,0,1,0
3258078,251,112317.63,5072.0,117389.63,1999628.62,1887310.99,0,1,0,0,0,0
1608453,156,95169.22,7151755.12,7246924.34,860820.63,765651.41,0,1,0,0,0,0
1051639,95,1224.57,32767.0,31542.43,0.0,0.0,0,0,0,0,1,0
2509913,205,139982.78,363791.0,223808.22,0.0,139982.78,0,0,1,0,0,0
4418758,322,277074.32,0.0,0.0,4948528.17,5225602.48,0,0,1,0,0,0
2122048,183,72227.19,10205.0,82432.19,3074615.8,3002388.61,0,1,0,0,0,0
4890614,349,75830.75,8097.0,0.0,0.0,75830.75,0,0,1,0,0,0
4126696,302,297868.14,0.0,0.0,10394582.69,10692450.83,0,0,1,0,0,0
3274890,251,4306.44,20299.0,15992.56,0.0,0.0,0,0,0,0,1,0
6005672,429,3341.42,32281.0,28939.58,0.0,0.0,0,0,0,0,1,0
1521543,153,6337.45,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4943262,350,50913.44,83591.0,32677.56,0.0,50913.44,0,0,0,0,0,1
991653,45,771.04,23.0,0.0,0.0,0.0,0,0,0,0,1,0
3838025,282,7265.75,15866.0,8600.25,0.0,0.0,0,0,0,0,1,0
5824336,402,467772.37,4619.0,0.0,30360.0,701926.31,0,0,0,0,0,1
686288,36,112858.47,497740.23,610598.69,9318642.15,9205783.69,0,1,0,0,0,0
1078591,129,115526.87,872.0,116398.87,1531906.16,1416379.29,0,1,0,0,0,0
1283257,135,17752.11,3588.0,0.0,0.0,0.0,0,0,0,0,1,0
2235029,186,31503.25,174.0,0.0,0.0,0.0,0,0,0,0,1,0
2094915,182,709431.57,50595.0,0.0,156561.33,865992.89,0,0,0,0,0,1
2499533,204,25935.05,684.25,0.0,0.0,0.0,0,0,0,0,1,0
5000001,353,7229.34,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4138254,303,109758.98,91643.0,0.0,0.0,109758.98,0,0,1,0,0,0
3070796,235,5681.72,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4582399,328,1217.53,0.0,0.0,32221.08,33438.62,0,0,1,0,0,0
4653624,330,228270.27,407173.0,178902.73,4392728.33,4620998.59,0,0,1,0,0,0
1271813,135,197199.74,3150783.63,3347983.38,1036164.46,838964.72,0,1,0,0,0,0
1628747,157,200175.86,1758.0,0.0,0.0,200175.86,0,0,1,0,0,0
2487340,204,2029.69,407.0,0.0,0.0,0.0,0,0,0,0,1,0
1644423,157,482538.22,321770.0,804308.22,4017868.25,3357310.62,0,1,0,0,0,0
4389716,321,13526.5,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1168516,132,11170.28,416076.13,404905.85,0.0,0.0,0,0,0,0,1,0
6132877,544,66898.02,0.0,0.0,1260969.79,1327867.81,0,0,1,0,0,0
4651216,330,39479.98,460580.0,421100.02,1258177.66,1297657.65,0,0,1,0,0,0
6034428,476,330431.26,42067.0,0.0,1751532.24,2081963.5,0,0,1,0,0,0
6028858,471,389071.1,1202286.39,1591357.49,627284.86,238213.75,0,1,0,0,0,0
4888891,349,596260.44,0.0,0.0,1658923.09,2255183.53,0,0,1,0,0,0
3941836,286,2796.11,277088.78,274292.67,0.0,0.0,0,0,0,0,1,0
3400869,255,101831.94,176874.0,75042.06,2542750.0,2644581.95,0,0,1,0,0,0
1499189,143,19770.68,10095.0,0.0,0.0,0.0,0,0,0,0,1,0
1362818,138,333400.96,1860396.58,2193797.54,533196.46,280920.05,0,1,0,0,0,0
3736882,278,14092.14,0.0,0.0,1394611.91,1408704.05,0,0,1,0,0,0
5109116,355,1255.24,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1025611,48,19182.23,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3548584,260,298.72,0.0,0.0,16707.5,17006.22,0,0,1,0,0,0
102179,10,104988.62,5820.0,0.0,0.0,198791.82,0,0,1,0,0,0
3829785,282,110875.16,0.0,0.0,392995.12,503870.28,0,0,1,0,0,0
2445856,203,670129.61,85783.85,0.0,2884072.66,3554202.27,0,0,0,0,0,1
662210,36,8092.14,77119.89,69027.75,0.0,0.0,0,0,0,0,1,0
3879977,283,25077.88,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2602855,208,291034.08,0.0,0.0,633622.72,924656.8,0,0,1,0,0,0
1080989,129,12292.97,4555.0,0.0,0.0,0.0,0,0,0,0,1,0
3080840,235,10164.77,6924599.88,6934764.65,237028.0,226863.23,0,1,0,0,0,0
5777537,400,46004.3,143385.01,97380.7,0.0,0.0,0,0,0,0,1,0
6134878,544,406114.77,218450.0,0.0,0.0,406114.77,0,0,1,0,0,0
3938891,286,4693.12,369648.0,364954.88,0.0,0.0,0,0,0,0,1,0
2716451,211,263317.69,322748.82,586066.51,324684.57,61366.88,0,1,0,0,0,0
